Rk Player Age Team Pos G GS MP PER TS% 3PAr FTr ORB% DRB% TRB% AST% STL% BLK% TOV% USG% OWS DWS WS WS/48 OBPM DBPM BPM VORP
Johnny Davis 22 WAS SG 24 0.0 196.0 11.6 0.501 0.355 0.177 3.7 13.3 8.5 6.5 2.9 2.8 5.6 15.0 0.0 0.1 0.2 0.039 -2.5 1.0 -1.5 0.0
Trevelin Queen 27 ORL SG 12 2.0 190.0 10.6 0.548 0.537 0.148 4.7 5.8 5.2 14.9 3.1 2.5 18.4 16.2 0.0 0.3 0.3 0.086 -2.8 2.7 -0.1 0.1
Jaylen Nowell 25 NOP SG 8 0.0 168.0 7.8 0.43 0.37 0.151 3.7 9.6 6.5 16.0 0.3 2.2 9.3 21.5 -0.2 0.0 -0.2 -0.064 -3.0 -2.7 -5.7 -0.2
Antonio Reeves 24 NOP SG 17 0.0 155.0 13.0 0.516 0.5 0.108 4.0 8.9 6.3 10.3 1.9 0.0 6.1 22.4 0.1 0.0 0.1 0.023 -0.4 -2.3 -2.7 0.0
Jaylon Tyson 22 CLE SG 21 1.0 153.0 7.7 0.483 0.375 0.2 9.6 15.4 12.6 11.0 1.6 0.0 18.7 15.0 0.0 0.2 0.2 0.048 -5.1 -0.8 -5.9 -0.2
DaQuan Jeffries 27 CHO SG 8 0.0 152.0 13.2 0.642 0.444 0.089 4.1 12.4 8.1 5.2 1.6 3.3 11.4 14.7 0.2 0.1 0.3 0.1 -0.9 0.5 -0.5 0.1
Josh Richardson 31 MIA SG 8 0.0 150.0 4.4 0.402 0.579 0.105 4.4 4.3 4.4 10.9 2.6 0.6 16.8 14.0 -0.2 0.2 -0.1 -0.021 -7.2 0.3 -6.9 -0.2
Isaiah Wong 24 CHO SG 10 0.0 143.0 11.0 0.452 0.304 0.464 8.7 7.7 8.2 19.4 2.1 0.0 12.9 22.9 -0.1 0.1 0.0 0.01 -3.0 -1.2 -4.1 -0.1
Kobe Bufkin 21 ATL SG 10 0.0 124.0 10.6 0.483 0.404 0.383 4.3 14.2 9.1 18.5 1.1 1.5 12.7 20.7 0.0 0.1 0.0 0.016 -3.3 -0.7 -4.0 -0.1
De'Anthony Melton 26 GSW SG 6 2.0 121.0 13.5 0.539 0.648 0.148 5.0 12.5 8.7 20.9 2.8 1.6 14.8 23.4 0.0 0.2 0.2 0.078 -1.5 0.5 -1.0 0.0
Cam Spencer 24 MEM SG 10 0.0 121.0 11.3 0.589 0.533 0.3 4.5 10.0 7.3 16.0 1.1 0.7 12.8 12.8 0.2 0.1 0.3 0.135 -1.6 0.3 -1.3 0.0
Colby Jones 22 SAC SG 22 0.0 119.0 6.9 0.5 0.375 0.0 5.6 13.3 9.4 5.3 2.0 4.2 22.6 11.2 -0.1 0.1 0.0 0.02 -5.0 0.5 -4.4 -0.1
Landry Shamet 27 NYK SG 9 0.0 113.0 8.0 0.517 0.433 0.0 2.1 4.9 3.6 6.8 2.6 0.8 11.8 13.2 0.0 0.1 0.1 0.033 -3.8 0.7 -3.1 0.0
Jalen Pickett 25 DEN SG 11 0.0 88.0 15.5 0.708 0.667 0.0 1.3 12.0 6.8 30.6 0.5 1.0 17.2 13.9 0.2 0.0 0.3 0.154 2.3 -0.1 2.1 0.1
Pacome Dadiet 19 NYK SG 12 0.0 82.0 6.6 0.455 0.7 0.1 0.0 17.6 9.1 7.3 0.6 2.3 4.6 11.7 0.0 0.1 0.1 0.038 -3.9 -1.1 -5.0 -0.1
Chris Duarte 27 CHI SG 14 0.0 68.0 18.0 0.631 0.56 0.32 7.8 21.3 14.6 16.3 0.0 0.0 3.4 18.1 0.2 0.0 0.3 0.182 3.2 -1.3 1.9 0.1
Jaden Springer 22 BOS SG 15 0.0 64.0 11.3 0.485 0.286 1.071 6.8 17.1 11.9 9.7 3.1 0.0 8.8 15.3 0.1 0.1 0.2 0.129 -6.0 2.3 -3.8 0.0
Trey Alexander 21 DEN SG 12 0.0 53.0 0.8 0.302 0.5 0.143 0.0 4.0 2.1 10.8 0.0 1.7 6.3 12.6 -0.1 0.0 -0.1 -0.08 -7.0 -2.4 -9.4 -0.1
Garrett Temple 38 TOR SG 12 0.0 51.0 7.2 0.322 0.5 0.2 2.2 17.5 9.8 21.3 4.7 1.9 26.9 12.2 -0.1 0.1 0.0 -0.023 -5.7 3.7 -2.0 0.0
Damion Lee 32 PHO SG 8 0.0 48.0 6.2 0.387 0.571 0.381 2.4 11.3 6.9 14.3 2.1 0.0 10.9 25.4 -0.1 0.0 -0.1 -0.102 -6.7 -1.5 -8.2 -0.1
Luke Travers 23 CLE SG 6 0.0 42.0 7.9 0.508 0.429 0.286 2.7 12.7 7.8 13.7 1.1 2.2 20.2 10.1 0.0 0.0 0.1 0.067 -5.2 -0.5 -5.7 0.0
Adam Flagler 25 OKC SG 11 0.0 40.0 4.8 0.375 0.95 0.0 5.4 10.5 7.9 0.0 2.4 0.0 0.0 21.4 -0.1 0.1 0.0 -0.018 -6.4 -2.1 -8.5 -0.1
PJ Dozier 28 MIN SG 9 0.0 35.0 9.7 0.621 1.0 2.0 3.2 12.4 7.9 19.0 1.4 0.0 15.1 8.3 0.0 0.0 0.1 0.113 -2.4 2.4 0.0 0.0
Stanley Umude 25 MIL SG 10 0.0 34.0 9.9 0.436 0.833 0.333 3.3 24.6 14.3 7.4 2.8 2.8 0.0 8.8 0.0 0.1 0.1 0.098 -3.3 3.0 -0.3 0.0
Baylor Scheierman 24 BOS SG 5 0.0 34.0 0.6 0.184 0.6 0.2 6.4 16.1 11.2 7.0 1.4 0.0 0.0 13.8 -0.1 0.0 -0.1 -0.078 -9.7 -0.8 -10.6 -0.1
D.J. Carton 24 TOR SG 4 0.0 33.0 -2.6 0.202 0.429 0.143 0.0 13.5 6.7 10.9 2.9 0.0 35.0 14.5 -0.2 0.0 -0.2 -0.224 -9.9 -1.4 -11.3 -0.1
Bronny James 20 LAL SG 9 0.0 22.0 1.7 0.202 0.444 0.222 5.2 0.0 2.6 17.1 2.2 4.1 0.0 19.7 -0.1 0.0 -0.1 -0.157 -8.5 -1.9 -10.4 0.0
Taze Moore 26 POR SG 2 0.0 20.0 7.2 0.276 0.4 0.2 21.4 22.3 21.8 6.8 4.8 0.0 15.5 26.9 -0.1 0.0 -0.1 -0.172 -3.6 -1.0 -4.6 0.0
Cam Christie 19 LAC SG 1 0.0 18.0 6.5 0.357 0.571 0.0 6.1 12.4 9.3 0.0 5.4 0.0 12.5 19.1 -0.1 0.0 0.0 -0.06 -4.1 3.7 -0.4 0.0
Josh Christopher 23 MIA SG 4 0.0 18.0 3.8 0.644 0.333 0.667 0.0 12.0 6.1 23.8 0.0 5.3 50.8 19.3 -0.1 0.0 -0.1 -0.135 -8.5 -3.2 -11.7 0.0
Lester Qui̱ones 24 PHI SG 4 0.0 17.0 8.7 0.533 0.375 0.125 19.4 7.2 13.6 10.7 0.0 0.0 32.2 32.2 -0.1 0.0 -0.1 -0.183 -3.6 -6.9 -10.5 0.0
